Title,Image_full,Image_thumb,Type,Job,Element,Cost,Serial Type,Power,Category,Set,Code
Hojo,https://fftcg.cdn.sewest.net/images/cards/full/B-030_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-030_eg.jpg, Backup, Shinra Executive,down, 4, B, , VII, Boss Deck FFVII, B-030
Weiss,https://fftcg.cdn.sewest.net/images/cards/full/B-031_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-031_eg.jpg, Forward, Tsviets,ice, 2, B, 8000, VII, Boss Deck FFVII, B-031
Shelke,https://fftcg.cdn.sewest.net/images/cards/full/B-032_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-032_eg.jpg, Forward, Tsviets,ice, 3, B, 7000, , Boss Deck FFVII, B-032
Genesis Avatar,https://fftcg.cdn.sewest.net/images/cards/full/B-033_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-033_eg.jpg, Forward, Avatar,ice, 6, B, 9000, , Boss Deck FFVII, B-033
Scarlet,https://fftcg.cdn.sewest.net/images/cards/full/B-034_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-034_eg.jpg, Forward, Shinra Executive,down, 2, B, 8000, VII, Boss Deck FFVII, B-034
Angeal Penance,https://fftcg.cdn.sewest.net/images/cards/full/B-035_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-035_eg.jpg, Forward, Test Subject,lightning, 3, B, 8000, , Boss Deck FFVII, B-035
Shinra Soldier,https://fftcg.cdn.sewest.net/images/cards/full/B-036_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-036_eg.jpg, Forward, Standard Unit,lightning, 3, B, 8000, , Boss Deck FFVII, B-036
Tseng,https://fftcg.cdn.sewest.net/images/cards/full/B-037_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-037_eg.jpg, Forward, Member of the Turks,lightning, 4, B, 8000, VII, Boss Deck FFVII, B-037
Sephiroth,https://fftcg.cdn.sewest.net/images/cards/full/B-038_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-038_eg.jpg, Forward, War Hero,dark, 8, B, 10000, , Boss Deck FFVII, B-038
Sephiroth,https://fftcg.cdn.sewest.net/images/cards/full/B-039_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-039_eg.jpg, Forward, One-Winged Angel,exburst, 4, B, 10000, VII, Boss Deck FFVII, B-039
Heidegger,https://fftcg.cdn.sewest.net/images/cards/full/B-040_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-040_eg.jpg, Backup, Shinra Executive,lightning, 2, B, , VII, Boss Deck FFVII, B-040
Reeve,https://fftcg.cdn.sewest.net/images/cards/full/B-041_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-041_eg.jpg, Backup, Shinra Executive,exburst, 3, B, , VII, Boss Deck FFVII, B-041
Bahamut,https://fftcg.cdn.sewest.net/images/cards/full/B-042_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-042_eg.jpg, Summon, ,fire, 4, B, , VII, Boss Deck FFVII, B-042
Shiva,https://fftcg.cdn.sewest.net/images/cards/full/B-043_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-043_eg.jpg, Summon, ,exburst, 4, B, , VII, Boss Deck FFVII, B-043
Alexander,https://fftcg.cdn.sewest.net/images/cards/full/B-044_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-044_eg.jpg, Summon,  ,wind, 2, B, , , Boss Deck FFVII, B-044
Carbuncle,https://fftcg.cdn.sewest.net/images/cards/full/B-045_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-045_eg.jpg, Summon,  ,exburst, 1, B, , , Boss Deck FFVII, B-045
Ramuh,https://fftcg.cdn.sewest.net/images/cards/full/B-046_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-046_eg.jpg, Summon, ,lightning, 3, B, , MOBIUS · VII, Boss Deck FFVII, B-046
Leviathan,https://fftcg.cdn.sewest.net/images/cards/full/B-047_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-047_eg.jpg, Summon, ,water, 3, B, , MOBIUS · VII, Boss Deck FFVII, B-047
Rufus,https://fftcg.cdn.sewest.net/images/cards/full/B-048_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-048_eg.jpg, Forward, President of Shinra,exburst, 4, B, 5000, VII, Boss Deck FFVII, B-048
Rude,https://fftcg.cdn.sewest.net/images/cards/full/B-049_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-049_eg.jpg, Forward, Member of the Turks,lightning, 1, B, 10000, VII, Boss Deck FFVII, B-049
Reno,https://fftcg.cdn.sewest.net/images/cards/full/B-050_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-050_eg.jpg, Forward, Member of the Turks,lightning, 1, B, 10000, VII, Boss Deck FFVII, B-050
Elena,https://fftcg.cdn.sewest.net/images/cards/full/B-051_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-051_eg.jpg, Forward, Member of the Turks,lightning, 2, B, 7000, VII, Boss Deck FFVII, B-051
Cissnei,https://fftcg.cdn.sewest.net/images/cards/full/B-052_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-052_eg.jpg, Forward, Member of the Turks,lightning, 2, B, 7000, VII, Boss Deck FFVII, B-052
Shalua,https://fftcg.cdn.sewest.net/images/cards/full/B-053_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-053_eg.jpg, Backup, Scientist,down, 2, B, , , Boss Deck FFVII, B-053
Restrictor,https://fftcg.cdn.sewest.net/images/cards/full/B-054_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-054_eg.jpg, Backup, SOLDIER,exburst, 3, B, , VII, Boss Deck FFVII, B-054
Ifrita,https://fftcg.cdn.sewest.net/images/cards/full/15-001R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-001R_eg.jpg, Summon,  ,fire, 3, R,  , MOBIUS ·  , Crystal Dominion, 15-001R/9-002H
Sky Warrior,https://fftcg.cdn.sewest.net/images/cards/full/15-002C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-002C_eg.jpg, Backup, Standard Unit,down, 2, C,  , XII ·  , Crystal Dominion, 15-002C
Sky Samurai,https://fftcg.cdn.sewest.net/images/cards/full/15-003C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-003C_eg.jpg, Forward, Standard Unit,fire, 4, C, 8000, XII ·  , Crystal Dominion, 15-003C
Edgar,https://fftcg.cdn.sewest.net/images/cards/full/15-004C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-004C_eg.jpg, Backup, King,fire, 2, C,  , DFF · VI, Crystal Dominion, 15-004C
Guy,https://fftcg.cdn.sewest.net/images/cards/full/15-005R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-005R_eg.jpg, Forward, Warrior/Rebel,fire, 5, R, 6000, II ·  , Crystal Dominion, 15-005R
Cyan,https://fftcg.cdn.sewest.net/images/cards/full/15-006H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-006H_eg.jpg, Forward, Samurai,fire, 7, H, 9000, VI ·  , Crystal Dominion, 15-006H
Samurai,https://fftcg.cdn.sewest.net/images/cards/full/15-007C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-007C_eg.jpg, Backup, Standard Unit,c, 2, C,  , V ·  , Crystal Dominion, 15-007C
Shadow,https://fftcg.cdn.sewest.net/images/cards/full/15-008C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-008C_eg.jpg, Forward, Assassin,exburst, 4, C, 8000, DFF · VI, Crystal Dominion, 15-008C
Bahamut,https://fftcg.cdn.sewest.net/images/cards/full/15-009C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-009C_eg.jpg, Summon,  ,c, 4, C,  , XIII ·  , Crystal Dominion, 15-009C
Vargas,https://fftcg.cdn.sewest.net/images/cards/full/15-010R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-010R_eg.jpg, Forward, Monk,fire, 3, R, 7000, VI ·  , Crystal Dominion, 15-010R
Palom,https://fftcg.cdn.sewest.net/images/cards/full/15-011L_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-011L_eg.jpg, Forward, Apprentice Mage,num, 2, L, 4000, IV ·  , Crystal Dominion, 15-011L
Faris,https://fftcg.cdn.sewest.net/images/cards/full/15-012H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-012H_eg.jpg, Forward, Pirate/Warrior of Light,ability, 6, H, 8000, V ·  , Crystal Dominion, 15-012H
Firion,https://fftcg.cdn.sewest.net/images/cards/full/15-013L_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-013L_eg.jpg, Forward, Warrior/Rebel,c, 3, L, 7000, II ·  , Crystal Dominion, 15-013L
Brynhildr,https://fftcg.cdn.sewest.net/images/cards/full/15-014H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-014H_eg.jpg, Summon, ,exburst, 2, H, , XIII, Crystal Dominion, 15-014H
Bwagi,https://fftcg.cdn.sewest.net/images/cards/full/15-015R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-015R_eg.jpg, Backup, Headhunter,down, 4, R,  , XII ·  , Crystal Dominion, 15-015R
Bomb,https://fftcg.cdn.sewest.net/images/cards/full/15-016C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-016C_eg.jpg, Monster, Bomb,num, 2, C, 6000, XII ·  , Crystal Dominion, 15-016C
Machina,https://fftcg.cdn.sewest.net/images/cards/full/15-017H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-017H_eg.jpg, Forward, Class Zero Cadet,fire, 5, H, 9000, TYPE-0 ·  , Crystal Dominion, 15-017H
Sabin,https://fftcg.cdn.sewest.net/images/cards/full/15-018C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-018C_eg.jpg, Forward, Monk,fire, 5, C, 9000, DFF · VI, Crystal Dominion, 15-018C
Josef,https://fftcg.cdn.sewest.net/images/cards/full/15-019C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-019C_eg.jpg, Backup, Rebel/Monk,exburst, 3, C,  , II ·  , Crystal Dominion, 15-019C
Rinok,https://fftcg.cdn.sewest.net/images/cards/full/15-020R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-020R_eg.jpg, Forward, Headhunter,down, 2, R, 5000, XII ·  , Crystal Dominion, 15-020R
General Leo,https://fftcg.cdn.sewest.net/images/cards/full/15-021R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-021R_eg.jpg, Forward, Captain,fire, 4, R, 8000, VI ·  , Crystal Dominion, 15-021R
Amidatelion,https://fftcg.cdn.sewest.net/images/cards/full/15-022C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-022C_eg.jpg, Backup, Crystal Bearer,ice, 2, C,  , DFF · FFCC, Crystal Dominion, 15-022C
Werei,https://fftcg.cdn.sewest.net/images/cards/full/15-023R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-023R_eg.jpg, Backup, Elder,ice, 4, R,  , XI ·  , Crystal Dominion, 15-023R
Orphan,https://fftcg.cdn.sewest.net/images/cards/full/15-024R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-024R_eg.jpg, Forward, Fal'Cie,exburst, 5, R, 8000, THEATRHYTHM · XIII, Crystal Dominion, 15-024R
Scholar,https://fftcg.cdn.sewest.net/images/cards/full/15-025C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-025C_eg.jpg, Backup, Standard Unit,down, 2, C,  , XI ·  , Crystal Dominion, 15-025C
Kazusa,https://fftcg.cdn.sewest.net/images/cards/full/15-026C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-026C_eg.jpg, Backup, Researcher,ice, 2, C,  , TYPE-0 ·  , Crystal Dominion, 15-026C
The Emperor,https://fftcg.cdn.sewest.net/images/cards/full/15-027R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-027R_eg.jpg, Forward, Emperor,ice, 3, R, 7000, DFF · II, Crystal Dominion, 15-027R
Gogo,https://fftcg.cdn.sewest.net/images/cards/full/15-028H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-028H_eg.jpg, Forward, Mime,ability, 3, H, 7000, VI ·  , Crystal Dominion, 15-028H
Zalera,https://fftcg.cdn.sewest.net/images/cards/full/15-029R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-029R_eg.jpg, Summon,  ,ice, 1, R,  , MOBIUS ·  , Crystal Dominion, 15-029R/9-025H
Shiva,https://fftcg.cdn.sewest.net/images/cards/full/15-030H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-030H_eg.jpg, Summon,  ,exburst, 1, H,  , FFEX ·  , Crystal Dominion, 15-030H
Shiva,https://fftcg.cdn.sewest.net/images/cards/full/15-031C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-031C_eg.jpg, Summon,  ,c, 3, C,  , XII ·  , Crystal Dominion, 15-031C
Cid Raines,https://fftcg.cdn.sewest.net/images/cards/full/15-032C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-032C_eg.jpg, Forward, The Cavalry,ice, 4, C, 8000, THEATRHYTHM · XIII, Crystal Dominion, 15-032C
Jumbo Flan,https://fftcg.cdn.sewest.net/images/cards/full/15-033C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-033C_eg.jpg, Monster, Flan,num, 2, C, 6000, THEATRHYTHM · X, Crystal Dominion, 15-033C
Snow,https://fftcg.cdn.sewest.net/images/cards/full/15-034R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-034R_eg.jpg, Forward, Sentinel/L'Cie,c, 4, R, 8000, DFF · XIII, Crystal Dominion, 15-034R
Setzer,https://fftcg.cdn.sewest.net/images/cards/full/15-035H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-035H_eg.jpg, Forward, Gambler,c, 4, H, 7000, VI ·  , Crystal Dominion, 15-035H
Celes,https://fftcg.cdn.sewest.net/images/cards/full/15-036H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-036H_eg.jpg, Forward, Rune Knight,ice, 4, H, 7000, VI ·  , Crystal Dominion, 15-036H
Terra,https://fftcg.cdn.sewest.net/images/cards/full/15-037L_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-037L_eg.jpg, Forward, Magitek Knight,ice, 4, L, 8000, DFF · VI, Crystal Dominion, 15-037L
Knight,https://fftcg.cdn.sewest.net/images/cards/full/15-038C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-038C_eg.jpg, Backup, Standard Unit,c, 2, C,  , V ·  , Crystal Dominion, 15-038C
Mime,https://fftcg.cdn.sewest.net/images/cards/full/15-039C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-039C_eg.jpg, Forward, Standard Unit,ice, 2, C, 5000, V ·  , Crystal Dominion, 15-039C
Larzos,https://fftcg.cdn.sewest.net/images/cards/full/15-040C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-040C_eg.jpg, Forward, Spitewarden,c, 5, C, 9000, XI ·  , Crystal Dominion, 15-040C
Lightning,https://fftcg.cdn.sewest.net/images/cards/full/15-041L_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-041L_eg.jpg, Forward, Ravager/L'Cie,ice, 1, L, 9000, XIII ·  , Crystal Dominion, 15-041L
Locke,https://fftcg.cdn.sewest.net/images/cards/full/15-042R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-042R_eg.jpg, Forward, Treasure Hunter,exburst, 5, R, 9000, DFF · VI, Crystal Dominion, 15-042R
Alexander,https://fftcg.cdn.sewest.net/images/cards/full/15-043R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-043R_eg.jpg, Summon,  ,wind, 4, R,  , MOBIUS · VII, Crystal Dominion, 15-043R/8-046R
Vaan,https://fftcg.cdn.sewest.net/images/cards/full/15-044L_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-044L_eg.jpg, Forward, Sky Pirate,wind, 4, L, 8000, XII ·  , Crystal Dominion, 15-044L
Edge,https://fftcg.cdn.sewest.net/images/cards/full/15-045H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-045H_eg.jpg, Forward, Ninja,num, 2, H, 5000, IV ·  , Crystal Dominion, 15-045H
Dancer,https://fftcg.cdn.sewest.net/images/cards/full/15-046C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-046C_eg.jpg, Forward, Standard Unit,num, 3, C, 7000, XI ·  , Crystal Dominion, 15-046C
Kytes,https://fftcg.cdn.sewest.net/images/cards/full/15-047R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-047R_eg.jpg, Forward, Sky Pirate,wind, 1, R, 3000, XII ·  , Crystal Dominion, 15-047R
Kain,https://fftcg.cdn.sewest.net/images/cards/full/15-048L_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-048L_eg.jpg, Forward, Dragoon,exburst, 2, L, 8000, IV ·  , Crystal Dominion, 15-048L
Garchimacera,https://fftcg.cdn.sewest.net/images/cards/full/15-049C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-049C_eg.jpg, Summon,  ,c, 3, C,  , XII ·  , Crystal Dominion, 15-049C
Gigantuar,https://fftcg.cdn.sewest.net/images/cards/full/15-050C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-050C_eg.jpg, Monster, Cactuar,num, 2, C, 6000, THEATRHYTHM ·  , Crystal Dominion, 15-050C
Shikaree G,https://fftcg.cdn.sewest.net/images/cards/full/15-051C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-051C_eg.jpg, Forward, Sin Hunter,wind, 4, C, 8000, XI ·  , Crystal Dominion, 15-051C
Chocobo,https://fftcg.cdn.sewest.net/images/cards/full/15-052C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-052C_eg.jpg, Backup, Standard Unit,down, 2, C,  , II ·  , Crystal Dominion, 15-052C
Diabolos,https://fftcg.cdn.sewest.net/images/cards/full/15-053H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-053H_eg.jpg, Summon,  ,wind, 1, H,  , FFEX ·  , Crystal Dominion, 15-053H
Nono,https://fftcg.cdn.sewest.net/images/cards/full/15-054R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-054R_eg.jpg, Forward, Machinist/Moogle,down, 2, R, 5000, XII ·  , Crystal Dominion, 15-054R
Bartz,https://fftcg.cdn.sewest.net/images/cards/full/15-055H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-055H_eg.jpg, Forward, Wanderer/Warrior of Light,exburst, 4, H, 8000, THEATRHYTHM · V, Crystal Dominion, 15-055H
Filo,https://fftcg.cdn.sewest.net/images/cards/full/15-056R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-056R_eg.jpg, Backup, Sky Pirate,ability, 2, R,  , XII ·  , Crystal Dominion, 15-056R
Maria,https://fftcg.cdn.sewest.net/images/cards/full/15-057R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-057R_eg.jpg, Forward, Warrior/Rebel,wind, 2, R, 4000, II ·  , Crystal Dominion, 15-057R
Dragoon,https://fftcg.cdn.sewest.net/images/cards/full/15-058C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-058C_eg.jpg, Backup, Standard Unit,c, 2, C,  , V ·  , Crystal Dominion, 15-058C
Llyud,https://fftcg.cdn.sewest.net/images/cards/full/15-059C_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-059C_eg.jpg, Forward, Aegyl/Warrior,wind, 2, C, 5000, XII ·  , Crystal Dominion, 15-059C
Leon,https://fftcg.cdn.sewest.net/images/cards/full/15-060R_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-060R_eg.jpg, Forward, Warrior/Rebel,wind, 3, R, 7000, II ·  , Crystal Dominion, 15-060R
Lehko Habhoka,https://fftcg.cdn.sewest.net/images/cards/full/15-061H_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/15-061H_eg.jpg, Backup, Military Advisor,wind, 4, H,  , XI ·  , Crystal Dominion, 15-061H
